Commitment_Amount_INR_Cr,Commitment_Letter__Conclusion,Current_Status,Date_of_first_meeting__call,Due_Diligence__Queries,FeelerTeaserLetter_Sent,Initial_Appraisal__Evaluation_process_started,Initial__Final_Drawdown,Investor_Type,Meetings__Detailed_DiscussionsIM_Sent,Notes,Organisation,Reference,Responsibility_TNIFMC,Status_Open__Closed,TNIFMC_Request_INR_Cr
0,False,,1717200000000,False,True,False,False,Domestic Pension Funds / Insurance Companies/MFs,True,0,LIC Mutual Fund,SKC,K. Ganapathy Subramanian,Open,0
0,False,,1717200000000,False,True,False,False,Domestic Pension Funds / Insurance Companies/MFs,True,0,LIC Pension Fund,SKC,K. Ganapathy Subramanian,Open,0
0,False,,1672531200000,False,True,False,False,SWFs / MFIs / Pension Funds / FoFs,True,,Netherlands Development Finance Company (FMO),Propreitory,K. Ganapathy Subramanian,Open,0
0,False,,1725148800000,False,True,False,False,SWFs / MFIs / Pension Funds / FoFs,True,,OMERS,Propreitory,Krishna Chaitanya K,Open,0
0,False,,1725148800000,False,True,False,False,SWFs / MFIs / Pension Funds / FoFs,True,,OTPP,Propreitory,Krishna Chaitanya K,Open,0
0,False,,1717200000000,False,True,False,False,SWFs / MFIs / Pension Funds / FoFs,True,,Stratford House Advisors ,Propreitory,Krishna Chaitanya K,Open,0
0,False,,1725148800000,False,True,False,False,HNIs / Family Offices,True,,TCI Fund Management - Chris Hohn,Propreitory,Krishna Chaitanya K,Open,0
0,False,,1717200000000,False,True,False,False,Others,True,0,UPPCL,SKC,K. Ganapathy Subramanian,Declined,0
0,False,,1725148800000,False,True,False,False,Others,True,,World Tamil Organisation - UK,Propreitory,Krishna Chaitanya K,Open,0
0,False,,1685577600000,False,True,False,False,HNIs / Family Offices,True,,Yusuf bin Ahmed Kanoo Group,Propreitory,Krishna Chaitanya K,Open,0
0,False,,1725148800000,False,True,False,False,SWFs / MFIs / Pension Funds / FoFs,False,Not investing in India,ABN AMRO Infrastructure Capital Management Ltd,Propreitory,Krishna Chaitanya K,Closed / Deferred,0
0,False,,1685577600000,False,True,False,False,SWFs / MFIs / Pension Funds / FoFs,False,,Abu Dhabi Investment Council,Propreitory,Krishna Chaitanya K,Open,100
0,False,,1725148800000,False,True,False,False,SWFs / MFIs / Pension Funds / FoFs,False,,Alberta Teachers Retirement Fund,Propreitory,Krishna Chaitanya K,Open,0
0,False,,1685577600000,False,True,False,False,SWFs / MFIs / Pension Funds / FoFs,False,,"Allied Climate Partners, New York",Propreitory,Satish S,Open,0
0,False,,1725148800000,False,True,False,False,SWFs / MFIs / Pension Funds / FoFs,False,,ALP Invest,Propreitory,Krishna Chaitanya K,Open,0
0,False,,1685577600000,False,True,False,False,SWFs / MFIs / Pension Funds / FoFs,False,,APG Asset Management,Propreitory,Krishna Chaitanya K,Open,0
0,False,,1725148800000,False,True,False,False,SWFs / MFIs / Pension Funds / FoFs,False,Reevaluating India,Apollo Global Management,Propreitory,Krishna Chaitanya K,Closed / Deferred,0
0,False,,1685577600000,False,True,False,False,SWFs / MFIs / Pension Funds / FoFs,False,,Belgian Investment Company for Developing Countries,Propreitory,Krishna Chaitanya K,Open,0
0,False,,1717200000000,False,True,False,False,SWFs / MFIs / Pension Funds / FoFs,False,,Belgian Soverign Fund,Propreitory,Krishna Chaitanya K,Open,0
0,False,,1725148800000,False,True,False,False,SWFs / MFIs / Pension Funds / FoFs,False,,CDPQ,Propreitory,Krishna Chaitanya K,Open,0
0,False,,1733011200000,False,True,False,False,HNIs / Family Offices,False,,Childrens Investment Fund Foundation (CIFF),Propreitory,Satish S,Open,0
0,False,,1685577600000,False,True,False,False,Corporates,False,,Clayton Ventures,Propreitory,K. Ganapathy Subramanian,Open,0
0,False,,1685577600000,False,True,False,False,Corporates,False,Not Investing in AIFs,DBS Bank,Propreitory,K. Ganapathy Subramanian,Declined,0
